FamilyWeight;LanguageWeight;from_word;to_word
1;2;butcher shop;slaughter-house
1;2;abattoir;butcher shop
1;2;butcher shop;shambles
1;2;butchery;slaughterhouse
1;2;butchery;slaughter-house
1;2;abattoir;butchery
1;2;butchery;shambles
1;2;butcher's shop;slaughterhouse
1;2;butcher's shop;slaughter-house
1;2;abattoir;butcher's shop
1;2;butcher's shop;shambles
3;4;sleep;slumber
1;2;sleep;temple
1;2;slumber;temple
5;22;thou;ye
5;22;thou;yer
5;22;thee;thou
1;9;canal lock;sluice
1;4;lock;sluice
1;2;sluice;sluice-gate
1;2;fumigation;smoking
1;3;social condition;social status
1;2;social facility;social structure
1;2;firm;society
1;2;corporation;society
1;2;enterprise;society
1;2;company;society
1;2;society;venture
1;2;concern;society
1;2;partnership;society
1;2;bottom;soil
1;2;formation;training
1;2;photovoltaic cell;solar cell
